stubnum,stub,wtdsum_base,wtdsum_reform,wtdsum_change,change_share
0,Total,1266706821903.9243,1175483263307.9114,-91223558596.01294,1
1,Under $1,-8065450410.37552,-8065450410.37552,0,-0
2,$1 to < $25k,-191118594395.95258,-191131752153.8514,-13157757.898834229,1.4423640232128927e-4
3,$25k < 50k,-119673212441.23816,-119788186685.9884,-114974244.75024414,0.0012603569354207287
4,$50k < 75k,9825789044.400467,9387601456.160683,-438187588.23978424,0.00480344765084549
5,$75k < $100k,53969633215.27707,53059318510.060455,-910314705.2166138,0.009978943150507619
6,$100k < $200k,300095475480.36926,292112594754.2264,-7982880726.142883,0.0875089817696696
7,$200k < $500k,400379248531.2791,378638719170.8093,-21740529360.469788,0.23832143467181063
8,$500k < $1m,202858055287.2328,187715859327.10547,-15142195960.12732,0.16598997225250903
9,$1m+,618435877592.9319,573554559339.7644,-44881318253.16748,0.49199262716691566
