stabbr,variable,measure,base,reform,change,valgroup,valnum,vlabs
AK,iitax,avgval,14531.851221715911,14468.464545382572,63.38667633333898,"[-Inf,200)",1,< $200
AL,iitax,avgval,13751.377708383676,13438.237332877816,313.14037550586,"[200,500)",2,$200 < $500
AR,iitax,avgval,15749.590335874112,15185.04021217021,564.5501237039025,"[500,1e+03)",3,"$500 < $1,000"
AZ,iitax,avgval,16274.281887059991,15758.84558655185,515.4363005081414,"[500,1e+03)",3,"$500 < $1,000"
CA,iitax,avgval,26154.321385155978,23961.974305843763,2192.347079312214,"[1e+03, Inf)",4,">= $1,000"
CO,iitax,avgval,19344.52419400239,18620.91175069782,723.6124433045734,"[500,1e+03)",3,"$500 < $1,000"
CT,iitax,avgval,30817.690358115513,28276.95487046265,2540.7354876528625,"[1e+03, Inf)",4,">= $1,000"
DE,iitax,avgval,14991.47903354305,14358.460205815772,633.0188277272773,"[500,1e+03)",3,"$500 < $1,000"
FL,iitax,avgval,24479.69459613754,23956.17528915337,523.5193069841698,"[500,1e+03)",3,"$500 < $1,000"
GA,iitax,avgval,18148.57981280925,17272.098330133278,876.4814826759721,"[500,1e+03)",3,"$500 < $1,000"
HI,iitax,avgval,14239.822944574873,13642.602446743469,597.2204978314039,"[500,1e+03)",3,"$500 < $1,000"
IA,iitax,avgval,12623.544296693208,12010.954195845703,612.5901008475048,"[500,1e+03)",3,"$500 < $1,000"
ID,iitax,avgval,13491.36454904376,12823.25854215379,668.1060068899696,"[500,1e+03)",3,"$500 < $1,000"
IL,iitax,avgval,20027.72736023769,18947.611299404183,1080.1160608335085,"[1e+03, Inf)",4,">= $1,000"
IN,iitax,avgval,12862.87559995532,12404.875082220271,458.00051773504856,"[200,500)",2,$200 < $500
KS,iitax,avgval,14665.511783081774,14080.065618557672,585.4461645241026,"[500,1e+03)",3,"$500 < $1,000"
KY,iitax,avgval,12193.570306485313,11597.651973679607,595.9183328057061,"[500,1e+03)",3,"$500 < $1,000"
