stabbr,variable,measure,base,reform,change,us_change
AK,iitax,wtdsum,2305605490.931345,2292062686.242659,-13542804.688685894,-91223558596.01294
AL,iitax,wtdsum,6295249153.343005,5985690829.6986685,-309558323.6443367,-91223558596.01294
AR,iitax,wtdsum,4551309440.102848,4227115562.7231436,-324193877.3797045,-91223558596.01294
AZ,iitax,wtdsum,17026957046.526651,16197938865.922798,-829018180.6038532,-91223558596.01294
CA,iitax,wtdsum,224693004036.417,201743564693.25165,-22949439343.165344,-91223558596.01294
CO,iitax,wtdsum,25474177561.242012,24281146093.550926,-1193031467.6910858,-91223558596.01294
CT,iitax,wtdsum,30510083282.59749,27669721716.08628,-2840361566.5112076,-91223558596.01294
DE,iitax,wtdsum,2894700013.864951,2722467105.454712,-172232908.41023922,-91223558596.01294
FL,iitax,wtdsum,94910805690.50226,92195799698.11005,-2715005992.392212,-91223558596.01294
GA,iitax,wtdsum,25794649025.200256,23796061868.003777,-1998587157.1964798,-91223558596.01294
HI,iitax,wtdsum,4228700566.8985243,3981881808.9467134,-246818757.95181084,-91223558596.01294
IA,iitax,wtdsum,6913297344.095495,6395287332.69327,-518010011.4022255,-91223558596.01294
ID,iitax,wtdsum,2793580792.492581,2537082285.660972,-256498506.83160877,-91223558596.01294
IL,iitax,wtdsum,54364637120.209305,50528441624.13666,-3836195496.072647,-91223558596.01294
IN,iitax,wtdsum,12307195011.567095,11547379334.839613,-759815676.7274818,-91223558596.01294
KS,iitax,wtdsum,7037838922.04587,6610128852.105458,-427710069.94041157,-91223558596.01294
KY,iitax,wtdsum,5469432786.583836,4892536196.353429,-576896590.2304068,-91223558596.01294
LA,iitax,wtdsum,7510608455.892569,7128418285.461606,-382190170.43096256,-91223558596.01294
MA,iitax,wtdsum,53501576025.86913,49736276296.834274,-3765299729.0348587,-91223558596.01294
MD,iitax,wtdsum,28625454046.356323,26153880637.793022,-2471573408.563301,-91223558596.01294
ME,iitax,wtdsum,2609982482.213863,2373533107.921489,-236449374.29237413,-91223558596.01294
MI,iitax,wtdsum,26685144464.553165,25118072408.787197,-1567072055.7659683,-91223558596.01294
MN,iitax,wtdsum,22766213219.2817,20852435616.76757,-1913777602.5141296,-91223558596.01294
MO,iitax,wtdsum,13004452215.651352,12015074792.887352,-989377422.7639999,-91223558596.01294
MS,iitax,wtdsum,1077465941.7588844,909751289.8074121,-167714651.95147228,-91223558596.01294
MT,iitax,wtdsum,2218274198.9989433,2058254505.0505059,-160019693.94843745,-91223558596.01294
NC,iitax,wtdsum,21548708608.766792,19920424441.5664,-1628284167.2003937,-91223558596.01294
ND,iitax,wtdsum,2387027146.395776,2340002782.338557,-47024364.05721903,-91223558596.01294
NE,iitax,wtdsum,4494031616.067149,4138113855.1099305,-355917760.95721865,-91223558596.01294
NH,iitax,wtdsum,6569077212.782302,6347883271.142254,-221193941.64004803,-91223558596.01294
NJ,iitax,wtdsum,59076700823.419266,53295314461.32922,-5781386362.090042,-91223558596.01294
NM,iitax,wtdsum,2625706979.9463673,2485405239.7817874,-140301740.16457987,-91223558596.01294
NV,iitax,wtdsum,10805371298.073507,10506287433.189028,-299083864.8844795,-91223558596.01294
NY,iitax,wtdsum,139642988500.8283,124349320780.26944,-15293667720.558868,-91223558596.01294
OH,iitax,wtdsum,24604715681.06368,22763028092.830215,-1841687588.2334633,-91223558596.01294
OK,iitax,wtdsum,6389185192.424287,6042073439.780503,-347111752.64378357,-91223558596.01294
OR,iitax,wtdsum,12646463122.48999,11497340794.294079,-1149122328.1959114,-91223558596.01294
PA,iitax,wtdsum,44039071667.51695,41400232581.38441,-2638839086.1325455,-91223558596.01294
RI,iitax,wtdsum,3634754946.2047415,3347523153.8820143,-287231792.3227272,-91223558596.01294
SC,iitax,wtdsum,8306602694.035244,7662285270.307357,-644317423.7278872,-91223558596.01294
SD,iitax,wtdsum,2171790961.7657614,2129679281.3867626,-42111680.37899876,-91223558596.01294
TN,iitax,wtdsum,13435787321.571146,13147161815.853203,-288625505.7179432,-91223558596.01294
TX,iitax,wtdsum,97387587350.52542,94810285046.3371,-2577302304.188324,-91223558596.01294
UT,iitax,wtdsum,7263251233.170398,6773690534.129908,-489560699.04049015,-91223558596.01294
VA,iitax,wtdsum,36149376599.07604,33750527281.525154,-2398849317.550888,-91223558596.01294
VT,iitax,wtdsum,1706131685.4577336,1574396274.8953357,-131735410.56239796,-91223558596.01294
WA,iitax,wtdsum,38603505403.26214,37888748828.3168,-714756574.9453354,-91223558596.01294
WI,iitax,wtdsum,16065471281.121479,14789785179.253687,-1275686101.8677921,-91223558596.01294
WV,iitax,wtdsum,1428353969.3443198,1295314607.608192,-133039361.73612785,-91223558596.01294
WY,iitax,wtdsum,2727460239.1002545,2666499419.739416,-60960819.36083841,-91223558596.01294
