stubnum,stub,wtdsum_base,wtdsum_reform,wtdsum_change,change_share
0,Total,1275442247754.6462,1221113068454.211,-54329179300.4353,1
1,Under $1,-8014627508.823365,-8014627508.823365,0,-0
2,$1 to < $25k,-188836511523.4503,-188849669281.3491,-13157757.898803711,2.4218583951070814e-4
3,$25k < 50k,-117290003132.47946,-117404977377.2297,-114974244.75024414,0.002116252191376705
4,$50k < 75k,11047673243.568237,10609485655.328453,-438187588.23978424,0.008065418875861307
5,$75k < $100k,54839983982.75697,53929669277.54036,-910314705.2166138,0.01675553941617005
6,$100k < $200k,301915485722.28217,293993307976.201,-7922177746.081177,0.14581810084544572
7,$200k < $500k,400486314090.6272,378816999265.38617,-21669314825.241028,0.39885223933554625
8,$500k < $1m,202858055287.2328,189609282648.3754,-13248772638.857391,0.24386108550605767
9,$1m+,618435877592.9319,608423597798.7816,-10012279794.150269,0.18428917799003172
