stabbr,variable,measure,base,reform,change,us_change
AK,iitax,wtdsum,2323619972.8408585,2310827530.7658787,-12792442.074979782,-54329179300.4353
AL,iitax,wtdsum,6439665110.680139,6222295505.215845,-217369605.46429348,-54329179300.4353
AR,iitax,wtdsum,4637982042.318436,4428302835.17718,-209679207.14125538,-54329179300.4353
AZ,iitax,wtdsum,17210336696.373505,16690438941.162643,-519897755.2108612,-54329179300.4353
CA,iitax,wtdsum,225674193219.80328,213530480535.6889,-12143712684.11438,-54329179300.4353
CO,iitax,wtdsum,25617418418.314903,24848544164.8942,-768874253.4207039,-54329179300.4353
CT,iitax,wtdsum,30593556131.430492,29134558017.03468,-1458998114.395813,-54329179300.4353
DE,iitax,wtdsum,2919752332.9504924,2798699934.0195622,-121052398.93093014,-54329179300.4353
FL,iitax,wtdsum,95502453501.0373,94022944979.29802,-1479508521.739273,-54329179300.4353
GA,iitax,wtdsum,26102015380.8463,24775459823.70199,-1326555557.14431,-54329179300.4353
HI,iitax,wtdsum,4263680862.386408,4095240097.1979094,-168440765.1884985,-54329179300.4353
IA,iitax,wtdsum,6994519878.614248,6603365649.8779335,-391154228.7363148,-54329179300.4353
ID,iitax,wtdsum,2842528985.7706957,2678469469.874103,-164059515.89659262,-54329179300.4353
IL,iitax,wtdsum,54705434215.05856,52058252817.28934,-2647181397.769226,-54329179300.4353
IN,iitax,wtdsum,12495513685.97079,11980643789.128206,-514869896.8425846,-54329179300.4353
KS,iitax,wtdsum,7114791390.4255295,6814248310.5672,-300543079.8583298,-54329179300.4353
KY,iitax,wtdsum,5595356517.596571,5168603108.660789,-426753408.93578243,-54329179300.4353
LA,iitax,wtdsum,7647712088.737896,7381874116.068966,-265837972.66893005,-54329179300.4353
MA,iitax,wtdsum,53654995120.13827,51385941786.42443,-2269053333.7138367,-54329179300.4353
MD,iitax,wtdsum,28777968186.204243,26994113476.427204,-1783854709.7770386,-54329179300.4353
ME,iitax,wtdsum,2645184193.624421,2463567854.294141,-181616339.3302803,-54329179300.4353
MI,iitax,wtdsum,26940033433.186882,25839773298.058464,-1100260135.128418,-54329179300.4353
MN,iitax,wtdsum,22907981718.808266,21689043253.402027,-1218938465.4062386,-54329179300.4353
MO,iitax,wtdsum,13169626688.227627,12529759112.128756,-639867576.0988712,-54329179300.4353
MS,iitax,wtdsum,1170767129.0493908,1044483670.3333035,-126283458.71608734,-54329179300.4353
MT,iitax,wtdsum,2245526637.793679,2137691147.260475,-107835490.53320432,-54329179300.4353
NC,iitax,wtdsum,21843326229.457214,20691857675.292145,-1151468554.1650696,-54329179300.4353
ND,iitax,wtdsum,2405725370.009165,2373444392.8217754,-32280977.187389374,-54329179300.4353
NE,iitax,wtdsum,4546329586.7444315,4283593221.793036,-262736364.9513955,-54329179300.4353
NH,iitax,wtdsum,6602835352.42524,6432684807.120857,-170150545.30438232,-54329179300.4353
NJ,iitax,wtdsum,59296222135.70886,55674299071.92649,-3621923063.7823715,-54329179300.4353
NM,iitax,wtdsum,2681596163.4164715,2579992110.2623534,-101604053.15411806,-54329179300.4353
NV,iitax,wtdsum,10889593402.848625,10747964568.957695,-141628833.89093018,-54329179300.4353
NY,iitax,wtdsum,140131997348.2068,133447966493.13165,-6684030855.075134,-54329179300.4353
OH,iitax,wtdsum,24936647655.91823,23551177392.31692,-1385470263.601307,-54329179300.4353
OK,iitax,wtdsum,6497485530.176283,6252244252.852414,-245241277.32386875,-54329179300.4353
OR,iitax,wtdsum,12749986616.18439,11923608110.2247,-826378505.9596882,-54329179300.4353
PA,iitax,wtdsum,44363263446.063675,42429583758.041626,-1933679688.022049,-54329179300.4353
RI,iitax,wtdsum,3661859566.8462677,3458337202.754593,-203522364.0916748,-54329179300.4353
SC,iitax,wtdsum,8453162329.98672,7977067649.5738735,-476094680.41284657,-54329179300.4353
SD,iitax,wtdsum,2194561409.4972405,2165496758.791533,-29064650.70570755,-54329179300.4353
TN,iitax,wtdsum,13631964681.404072,13438540486.60427,-193424194.79980087,-54329179300.4353
TX,iitax,wtdsum,98214129783.65077,96108699261.74834,-2105430521.9024353,-54329179300.4353
UT,iitax,wtdsum,7351030230.263542,7047919225.77532,-303111004.4882221,-54329179300.4353
VA,iitax,wtdsum,36368715904.669205,34642447622.674866,-1726268281.994339,-54329179300.4353
VT,iitax,wtdsum,1721808359.9743347,1620604197.3930378,-101204162.58129692,-54329179300.4353
WA,iitax,wtdsum,38787163993.30194,38206344711.603,-580819281.6989441,-54329179300.4353
WI,iitax,wtdsum,16213536699.811356,15314825378.239126,-898711321.5722294,-54329179300.4353
WV,iitax,wtdsum,1476103317.7645192,1374209811.6120253,-101893506.15249395,-54329179300.4353
WY,iitax,wtdsum,2742637272.8953323,2720439241.100626,-22198031.794706345,-54329179300.4353
