stname,totchange,share,avgchange,avgpchange,avgdispincpchange
United States,-54329179300.4353,1,-637.3134971941436,-0.031783237321128505,0.005809984225779709
Alabama,-217369605.46429348,0.004000973478032123,-219.30363884138933,-0.015958654325792104,0.002353801530259579
Alaska,-12792442.074979782,2.354617213015269e-4,-59.75853111497236,-0.004114903900383014,6.158651092347573e-4
Arizona,-519897755.2108612,0.009569401966038822,-322.28761165226933,-0.01981743806791772,0.0032583826746257535
Arkansas,-209679207.14125538,0.003859421582309368,-363.7998588797436,-0.023119707727193406,0.0036194307554625466
California,-12143712684.11438,0.2235210036389613,-1153.8121766905206,-0.04415541967402702,0.009143393226337743
Colorado,-768874253.4207039,0.014152141875158852,-465.059193244997,-0.024059212770157424,0.004182740700547856
Connecticut,-1458998114.395813,0.026854779203044635,-1294.9413345087196,-0.042062420271022305,0.009428361676959941
Delaware,-121052398.93093014,0.00222812861319921,-443.5645499107668,-0.029606356021436166,0.004598345673557086
Florida,-1479508521.739273,0.027232300225956456,-284.4609261692676,-0.011630887979999303,0.002411408424238444
Georgia,-1326555557.14431,0.024416999745359328,-579.4118953724828,-0.031955105708388255,0.005425608245527596
Hawaii,-168440765.1884985,0.0031003738204296583,-406.09011708754406,-0.028534692021657277,0.004316019750857753
Idaho,-164059515.89659262,0.003019731164893156,-424.94089384181825,-0.03152238404016399,0.004561146291087253
Illinois,-2647181397.769226,0.04872485525928082,-740.8075905478363,-0.03702418673252503,0.006697382805952533
Indiana,-514869896.8425846,0.009476857620016713,-309.0456251802061,-0.024045877583186465,0.0034919071706349314
Iowa,-391154228.7363148,0.007199708034853027,-459.68159767071484,-0.036441630445025464,0.005033623735321967
Kansas,-300543079.8583298,0.005531890665904495,-409.4045517522518,-0.0279394930330083,0.004227535174823946
Kentucky,-426753408.93578243,0.007854957767277798,-438.0903525368831,-0.03595563317072063,0.0050231915903684215
Louisiana,-265837972.66893005,0.004893097523135235,-275.12997895929766,-0.018386083807072174,0.002893843762901767
Maine,-181616339.3302803,0.003342887591324707,-491.6395496421683,-0.041167530309368136,0.005670877383537405
Maryland,-1783854709.7770386,0.032834192099838067,-949.1716695516589,-0.04971586338305746,0.008539650540520288
Massachusetts,-2269053333.7138367,0.04176491091768906,-996.2467112121412,-0.03732346862542103,0.007647628025646001
Michigan,-1100260135.128418,0.020251734874257566,-419.52131790541716,-0.027812495767189846,0.0044335576965824726
Minnesota,-1218938465.4062386,0.022436165631467067,-705.2242148255027,-0.041946838183820584,0.006839008688048365
Mississippi,-126283458.71608734,0.002324413148554142,-232.4034602702941,-0.02093641050354215,0.0028129578547545146
Missouri,-639867576.0988712,0.011777604306526758,-427.77231398134427,-0.030081296399729094,0.004577167151453142
Montana,-107835490.53320432,0.0019848540309597555,-395.1415375080596,-0.02981489806169187,0.0043249174073714146
Nebraska,-262736364.9513955,0.004836008353788815,-510.8541051608554,-0.03755030954622496,0.005430059955738741
Nevada,-141628833.89093018,0.002606864961234476,-185.25946611204927,-0.00941141942532794,0.0017755647774295388
New Hampshire,-170150545.30438232,0.0031318445722042965,-373.74282749699705,-0.020891383030901975,0.0035075428463218128
New Jersey,-3621923063.7823715,0.06666625762471902,-1301.3773988469766,-0.05173141245402395,0.010414004234294299
New Mexico,-101604053.15411806,0.001870156230269136,-222.48389860754287,-0.018118116860241545,0.002600555486206869
New York,-6684030855.075134,0.1230283788774549,-1173.2134431627055,-0.04008028049312206,0.009136537943916414
North Carolina,-1151468554.1650696,0.021194293177107568,-489.54419814596804,-0.03156433183724718,0.004989080321584893
North Dakota,-32280977.187389374,5.941738418112038e-4,-144.7196103643655,-0.010107118472299616,0.0015051850182816599
Ohio,-1385470263.601307,0.025501402403665725,-449.82573707810116,-0.03383411924920417,0.005005847630499413
Oklahoma,-245241277.32386875,0.004513988256065996,-301.84677594626555,-0.020775231125019618,0.0031616121383017935
Oregon,-826378505.9596882,0.01521058327404307,-730.513988030345,-0.04628206260143942,0.00730892964858189
Pennsylvania,-1933679688.022049,0.03559191787766534,-531.4976295050201,-0.03220399883672543,0.005322564704005018
Rhode Island,-203522364.0916748,0.0037460967883614638,-629.2453332947862,-0.040721490399285035,0.006572109461766552
South Carolina,-476094680.41284657,0.008763148763578543,-421.943481203396,-0.03008692430807909,0.0045405380248128265
South Dakota,-29064650.70570755,5.34973122729919e-4,-123.49130400473587,-0.008891333492669299,0.0013130748790604566
Tennessee,-193424194.79980087,0.003560226701202002,-127.12653130655781,-0.008255678154719044,0.0013267299229198695
Texas,-2105430521.9024353,0.03875321786584702,-322.5455488206062,-0.015075500247396373,0.002812709989034262
Utah,-303111004.4882221,0.0055791566961106934,-424.5723526983038,-0.027020911680597837,0.004131971256715623
Vermont,-101204162.58129692,0.0018627957183311628,-522.9528076258521,-0.04043135374879412,0.005812027085332754
Virginia,-1726268281.994339,0.03177423815751451,-722.3065905766234,-0.03719701084232579,0.006398014014558342
Washington,-580819281.6989441,0.010690742786432821,-257.3439503510017,-0.012357629167113249,0.0021956457014625577
West Virginia,-101893506.15249395,0.001875483993399428,-268.8806100707279,-0.026322086862867685,0.003355060424383319
Wisconsin,-898711321.5722294,0.016541963879160394,-526.6060492455817,-0.038736858041439795,0.005716219052137286
Wyoming,-22198031.794706345,4.0858397053917004e-4,-142.18494365274455,-0.006511289228468443,0.001204092889767911
