stname,totchange,share,avgchange,avgpchange,avgxpincpchange
United States,-54329179300.4353,1,-637.3134971941436,-0.031783237321128505,0.0045135376085518805
Alabama,-217369605.46429348,0.004000973478032123,-219.30363884138933,-0.015958654325792104,0.0018715664065894106
Alaska,-12792442.074979782,2.354617213015269e-4,-59.75853111497236,-0.004114903900383014,4.872853206950209e-4
Arizona,-519897755.2108612,0.009569401966038822,-322.28761165226933,-0.01981743806791772,0.002567118066333748
Arkansas,-209679207.14125538,0.003859421582309368,-363.7998588797436,-0.023119707727193406,0.0028827578016602027
California,-12143712684.11438,0.2235210036389613,-1153.8121766905206,-0.04415541967402702,0.006989239921436385
Colorado,-768874253.4207039,0.014152141875158852,-465.059193244997,-0.024059212770157424,0.003268894786555275
Connecticut,-1458998114.395813,0.026854779203044635,-1294.9413345087196,-0.042062420271022305,0.0071403128992709045
Delaware,-121052398.93093014,0.00222812861319921,-443.5645499107668,-0.029606356021436166,0.0036383820085621635
Florida,-1479508521.739273,0.027232300225956456,-284.4609261692676,-0.011630887979999303,0.0018665884793313144
Georgia,-1326555557.14431,0.024416999745359328,-579.4118953724828,-0.031955105708388255,0.004249110322905898
Hawaii,-168440765.1884985,0.0031003738204296583,-406.09011708754406,-0.028534692021657277,0.0034220131210958445
Idaho,-164059515.89659262,0.003019731164893156,-424.94089384181825,-0.03152238404016399,0.003646897546416862
Illinois,-2647181397.769226,0.04872485525928082,-740.8075905478363,-0.03702418673252503,0.005204559587888844
Indiana,-514869896.8425846,0.009476857620016713,-309.0456251802061,-0.024045877583186465,0.002765776737360195
Iowa,-391154228.7363148,0.007199708034853027,-459.68159767071484,-0.036441630445025464,0.004024804137006338
Kansas,-300543079.8583298,0.005531890665904495,-409.4045517522518,-0.0279394930330083,0.003351774777646103
Kentucky,-426753408.93578243,0.007854957767277798,-438.0903525368831,-0.03595563317072063,0.004006944256973206
Louisiana,-265837972.66893005,0.004893097523135235,-275.12997895929766,-0.018386083807072174,0.0022808277569463108
Maine,-181616339.3302803,0.003342887591324707,-491.6395496421683,-0.041167530309368136,0.004537830355467826
Maryland,-1783854709.7770386,0.032834192099838067,-949.1716695516589,-0.04971586338305746,0.006645763542123824
Massachusetts,-2269053333.7138367,0.04176491091768906,-996.2467112121412,-0.03732346862542103,0.005856628509302152
Michigan,-1100260135.128418,0.020251734874257566,-419.52131790541716,-0.027812495767189846,0.0034911446984867917
Minnesota,-1218938465.4062386,0.022436165631467067,-705.2242148255027,-0.041946838183820584,0.005361183307140092
Mississippi,-126283458.71608734,0.002324413148554142,-232.4034602702941,-0.02093641050354215,0.002253240095475114
Missouri,-639867576.0988712,0.011777604306526758,-427.77231398134427,-0.030081296399729094,0.0036265151201130743
Montana,-107835490.53320432,0.0019848540309597555,-395.1415375080596,-0.02981489806169187,0.0034735314700283446
Nebraska,-262736364.9513955,0.004836008353788815,-510.8541051608554,-0.03755030954622496,0.004321815916655158
Nevada,-141628833.89093018,0.002606864961234476,-185.25946611204927,-0.00941141942532794,0.0013821760107058318
New Hampshire,-170150545.30438232,0.0031318445722042965,-373.74282749699705,-0.020891383030901975,0.002740753514369395
New Jersey,-3621923063.7823715,0.06666625762471902,-1301.3773988469766,-0.05173141245402395,0.00795462902672138
New Mexico,-101604053.15411806,0.001870156230269136,-222.48389860754287,-0.018118116860241545,0.002082295379772623
New York,-6684030855.075134,0.1230283788774549,-1173.2134431627055,-0.04008028049312206,0.0068994263213853066
North Carolina,-1151468554.1650696,0.021194293177107568,-489.54419814596804,-0.03156433183724718,0.003934240955879249
North Dakota,-32280977.187389374,5.941738418112038e-4,-144.7196103643655,-0.010107118472299616,0.0011955558255171339
Ohio,-1385470263.601307,0.025501402403665725,-449.82573707810116,-0.03383411924920417,0.003971652383467439
Oklahoma,-245241277.32386875,0.004513988256065996,-301.84677594626555,-0.020775231125019618,0.002509913891126675
Oregon,-826378505.9596882,0.01521058327404307,-730.513988030345,-0.04628206260143942,0.005783135406177678
Pennsylvania,-1933679688.022049,0.03559191787766534,-531.4976295050201,-0.03220399883672543,0.00417399178015552
Rhode Island,-203522364.0916748,0.0037460967883614638,-629.2453332947862,-0.040721490399285035,0.005151561582047979
South Carolina,-476094680.41284657,0.008763148763578543,-421.943481203396,-0.03008692430807909,0.0036118335292534254
South Dakota,-29064650.70570755,5.34973122729919e-4,-123.49130400473587,-0.008891333492669299,0.0010523610481841267
Tennessee,-193424194.79980087,0.003560226701202002,-127.12653130655781,-0.008255678154719044,0.0010443043182026773
Texas,-2105430521.9024353,0.03875321786584702,-322.5455488206062,-0.015075500247396373,0.002177813965497216
Utah,-303111004.4882221,0.0055791566961106934,-424.5723526983038,-0.027020911680597837,0.003272005548576854
Vermont,-101204162.58129692,0.0018627957183311628,-522.9528076258521,-0.04043135374879412,0.0046367749933854535
Virginia,-1726268281.994339,0.03177423815751451,-722.3065905766234,-0.03719701084232579,0.0049897241456121726
Washington,-580819281.6989441,0.010690742786432821,-257.3439503510017,-0.012357629167113249,0.0017114724319826399
West Virginia,-101893506.15249395,0.001875483993399428,-268.8806100707279,-0.026322086862867685,0.0026922894141871326
Wisconsin,-898711321.5722294,0.016541963879160394,-526.6060492455817,-0.038736858041439795,0.004535274606096634
Wyoming,-22198031.794706345,4.0858397053917004e-4,-142.18494365274455,-0.006511289228468443,9.455204687527402e-4
