stname,base,reform,change,share,pchange
United States,1275442247754.6462,1221113068454.211,-54329179300.4353,1,-0.04259634600945607
California,225674193219.80328,213530480535.6889,-12143712684.11438,0.2235210036389613,-0.05381081687212053
New York,140131997348.2068,133447966493.13165,-6684030855.075134,0.1230283788774549,-0.047698105939832786
New Jersey,59296222135.70886,55674299071.92649,-3621923063.7823715,0.06666625762471902,-0.06108185198532586
Illinois,54705434215.05856,52058252817.28934,-2647181397.769226,0.04872485525928082,-0.04838973377603767
Massachusetts,53654995120.13827,51385941786.42443,-2269053333.7138367,0.04176491091768906,-0.042289694158637536
Texas,98214129783.65077,96108699261.74834,-2105430521.9024353,0.03875321786584702,-0.021437144803302183
Pennsylvania,44363263446.063675,42429583758.041626,-1933679688.022049,0.03559191787766534,-0.043587408540694796
Maryland,28777968186.204243,26994113476.427204,-1783854709.7770386,0.032834192099838067,-0.06198681916092303
Virginia,36368715904.669205,34642447622.674866,-1726268281.994339,0.03177423815751451,-0.047465747389027604
Florida,95502453501.0373,94022944979.29802,-1479508521.739273,0.027232300225956456,-0.015491837827215648
Connecticut,30593556131.430492,29134558017.03468,-1458998114.395813,0.026854779203044635,-0.047689719630105425
Ohio,24936647655.91823,23551177392.31692,-1385470263.601307,0.025501402403665725,-0.055559603789505065
Georgia,26102015380.8463,24775459823.70199,-1326555557.14431,0.024416999745359328,-0.05082195906289055
Minnesota,22907981718.808266,21689043253.402027,-1218938465.4062386,0.022436165631467067,-0.05321020770701274
North Carolina,21843326229.457214,20691857675.292145,-1151468554.1650696,0.021194293177107568,-0.05271489067503995
Michigan,26940033433.186882,25839773298.058464,-1100260135.128418,0.020251734874257566,-0.040841082764694336
Wisconsin,16213536699.811356,15314825378.239126,-898711321.5722294,0.016541963879160394,-0.055429690524133816
Oregon,12749986616.18439,11923608110.2247,-826378505.9596882,0.01521058327404307,-0.06481406850346902
Colorado,25617418418.314903,24848544164.8942,-768874253.4207039,0.014152141875158852,-0.030013728973993934
Missouri,13169626688.227627,12529759112.128756,-639867576.0988712,0.011777604306526758,-0.0485866145826936
Washington,38787163993.30194,38206344711.603,-580819281.6989441,0.010690742786432821,-0.014974523061269557
Arizona,17210336696.373505,16690438941.162643,-519897755.2108612,0.009569401966038822,-0.030208459275547588
Indiana,12495513685.97079,11980643789.128206,-514869896.8425846,0.009476857620016713,-0.04120438021052704
South Carolina,8453162329.98672,7977067649.5738735,-476094680.41284657,0.008763148763578543,-0.05632148796243388
Kentucky,5595356517.596571,5168603108.660789,-426753408.93578243,0.007854957767277798,-0.07626920779644798
Iowa,6994519878.614248,6603365649.8779335,-391154228.7363148,0.007199708034853027,-0.05592295618921168
Utah,7351030230.263542,7047919225.77532,-303111004.4882221,0.0055791566961106934,-0.04123381281175268
Kansas,7114791390.4255295,6814248310.5672,-300543079.8583298,0.005531890665904495,-0.04224200870636553
Louisiana,7647712088.737896,7381874116.068966,-265837972.66893005,0.004893097523135235,-0.034760457713935905
Nebraska,4546329586.7444315,4283593221.793036,-262736364.9513955,0.004836008353788815,-0.057790875020906185
Oklahoma,6497485530.176283,6252244252.852414,-245241277.32386875,0.004513988256065996,-0.037744028237522695
Alabama,6439665110.680139,6222295505.215845,-217369605.46429348,0.004000973478032123,-0.033754799625183546
Arkansas,4637982042.318436,4428302835.17718,-209679207.14125538,0.003859421582309368,-0.04520914596651627
Rhode Island,3661859566.8462677,3458337202.754593,-203522364.0916748,0.0037460967883614638,-0.05557896483369404
Tennessee,13631964681.404072,13438540486.60427,-193424194.79980087,0.003560226701202002,-0.01418901818779349
Maine,2645184193.624421,2463567854.294141,-181616339.3302803,0.003342887591324707,-0.06865924110994717
New Hampshire,6602835352.42524,6432684807.120857,-170150545.30438232,0.0031318445722042965,-0.025769315183951324
Hawaii,4263680862.386408,4095240097.1979094,-168440765.1884985,0.0031003738204296583,-0.039505950521404924
Idaho,2842528985.7706957,2678469469.874103,-164059515.89659262,0.003019731164893156,-0.057716039737097394
Nevada,10889593402.848625,10747964568.957695,-141628833.89093018,0.002606864961234476,-0.013005888158678291
Mississippi,1170767129.0493908,1044483670.3333035,-126283458.71608734,0.002324413148554142,-0.10786385745098918
Delaware,2919752332.9504924,2798699934.0195622,-121052398.93093014,0.00222812861319921,-0.041459817521098875
Montana,2245526637.793679,2137691147.260475,-107835490.53320432,0.0019848540309597555,-0.04802236086549258
West Virginia,1476103317.7645192,1374209811.6120253,-101893506.15249395,0.001875483993399428,-0.06902870884865045
New Mexico,2681596163.4164715,2579992110.2623534,-101604053.15411806,0.001870156230269136,-0.037889393839477314
Vermont,1721808359.9743347,1620604197.3930378,-101204162.58129692,0.0018627957183311628,-0.05877783203631644
North Dakota,2405725370.009165,2373444392.8217754,-32280977.187389374,5.941738418112038e-4,-0.013418396625740533
South Dakota,2194561409.4972405,2165496758.791533,-29064650.70570755,5.34973122729919e-4,-0.013243945045204302
Wyoming,2742637272.8953323,2720439241.100626,-22198031.794706345,4.0858397053917004e-4,-0.008093681222115255
Alaska,2323619972.8408585,2310827530.7658787,-12792442.074979782,2.354617213015269e-4,-0.005505393405333721
