stub,wtdsum_change_repeal,wtdsum_change_reform,change_change,change_share_repeal,change_share_reform,share_change
Total,-91223558596.01294,-55874634449.88818,35348924146.124756,1,1,0
Under $1,0,0,0,-0,-0,0
$1 to < $25k,-13157757.898803713,-13157757.898803713,0,1.4423640232095474e-4,2.354871406023139e-4,9.125073828135917e-5
$25k < 50k,-114974244.75024414,-114974244.75024414,0,0.00126035693542072,0.00205771806620695,7.973611307862301e-4
$50k < 75k,-438187588.23978424,-438187588.23978424,0,0.00480344765084549,0.00784233476521046,0.0030388871143649703
$75k < $100k,-910314705.2166138,-910314705.2166138,0,0.00997894315050761,0.01629209236318208,0.006313149212674469
$100k < $200k,-7982880726.142822,-7946416638.084473,36464088.05834961,0.08750898176966894,0.14221867787271716,0.054709696103048225
$200k < $500k,-21740529360.469727,-21690931157.194336,49598203.275390625,0.23832143467180997,0.3882071242300135,0.14988568955820356
$500k < $1m,-15142195960.12732,-13733432298.661257,1408763661.4660625,0.16598997225250903,0.2457901055438357,0.07980013329132668
$1m+,-44881318253.16748,-11027220059.842651,33854098193.32483,0.49199262716691566,0.1973564600182314,-0.29463616714868424
