stabbr,variable,measure,base,reform,change,valgroup,valnum,vlabs
AK,iitax,avgval,14522.460927801994,14461.897905098578,60.56302270341621,"[-Inf,200)",1,< $200
AL,iitax,avgval,13741.988162933922,13515.493821821541,226.49434111238043,"[200,500)",2,$200 < $500
AR,iitax,avgval,15735.48693489071,15361.06347261258,374.4234622781296,"[200,500)",2,$200 < $500
AZ,iitax,avgval,16262.829259147175,15929.451809551072,333.37744959610245,"[200,500)",2,$200 < $500
CA,iitax,avgval,26130.703438183213,24943.350368199895,1187.3530699833173,"[1e+03, Inf)",4,">= $1,000"
CO,iitax,avgval,19329.775985931148,18849.49312700274,480.2828589284072,"[200,500)",2,$200 < $500
CT,iitax,avgval,30786.182206467853,29448.256556391527,1337.9256500763258,"[1e+03, Inf)",4,">= $1,000"
DE,iitax,avgval,14982.071741270984,14526.172192611666,455.8995486593176,"[200,500)",2,$200 < $500
FL,iitax,avgval,24457.369605694083,24161.083949731343,296.28565596273984,"[200,500)",2,$200 < $500
GA,iitax,avgval,18132.06004261117,17535.118315713513,596.9417268976576,"[500,1e+03)",3,"$500 < $1,000"
HI,iitax,avgval,14231.452604406228,13815.165279905343,416.287324500885,"[200,500)",2,$200 < $500
IA,iitax,avgval,12614.188554603066,12143.618177914639,470.57037668842713,"[200,500)",2,$200 < $500
ID,iitax,avgval,13480.607726255197,13043.302914758711,437.30481149648585,"[200,500)",2,$200 < $500
IL,iitax,avgval,20008.747144121637,19247.736323190227,761.0108209314094,"[500,1e+03)",3,"$500 < $1,000"
IN,iitax,avgval,12852.332966890726,12534.033661529746,318.2993053609807,"[200,500)",2,$200 < $500
KS,iitax,avgval,14653.256280225725,14232.526639891816,420.72964033390963,"[200,500)",2,$200 < $500
KY,iitax,avgval,12184.192403365281,11735.042372942442,449.15003042283934,"[200,500)",2,$200 < $500
LA,iitax,avgval,14964.033768489047,14679.949930416053,284.0838380729947,"[200,500)",2,$200 < $500
MA,iitax,avgval,26692.232739954856,25666.020735193975,1026.2120047608805,"[1e+03, Inf)",4,">= $1,000"
MD,iitax,avgval,19091.927706019174,18122.04242776975,969.885278249425,"[500,1e+03)",3,"$500 < $1,000"
ME,iitax,avgval,11942.410582990211,11439.601503093645,502.8090798965659,"[500,1e+03)",3,"$500 < $1,000"
MI,iitax,avgval,15083.914849537621,14652.903905812069,431.01094372555235,"[200,500)",2,$200 < $500
MN,iitax,avgval,16812.333071089884,16087.961118813999,724.3719522758856,"[500,1e+03)",3,"$500 < $1,000"
MO,iitax,avgval,14220.541172726742,13780.078292179896,440.46288054684555,"[200,500)",2,$200 < $500
MS,iitax,avgval,11100.444378035798,10861.404606067439,239.03977196835876,"[200,500)",2,$200 < $500
MT,iitax,avgval,13253.157421180766,12847.42237221619,405.735048964576,"[200,500)",2,$200 < $500
NC,iitax,avgval,15509.41108686122,15005.744235937509,503.66685092371154,"[500,1e+03)",3,"$500 < $1,000"
ND,iitax,avgval,14318.582567424706,14168.641540603678,149.94102682102857,"[-Inf,200)",1,< $200
NE,iitax,avgval,13604.524472214718,13080.921462801434,523.6030094132839,"[500,1e+03)",3,"$500 < $1,000"
NH,iitax,avgval,17889.807819049925,17508.54173494335,381.2660841065772,"[200,500)",2,$200 < $500
NJ,iitax,avgval,25156.425025192762,23820.02981582739,1336.3952093653716,"[1e+03, Inf)",4,">= $1,000"
NM,iitax,avgval,12279.637024295955,12051.561239413062,228.07578488289255,"[200,500)",2,$200 < $500
NV,iitax,avgval,19684.540422614722,19491.140505038242,193.39991757648022,"[-Inf,200)",1,< $200
NY,iitax,avgval,29271.58764180889,28060.067076243362,1211.5205655655263,"[1e+03, Inf)",4,">= $1,000"
OH,iitax,avgval,13295.033151740214,12833.799167336269,461.2339844039452,"[200,500)",2,$200 < $500
OK,iitax,avgval,14529.165722866563,14218.206074934767,310.9596479317952,"[200,500)",2,$200 < $500
OR,iitax,avgval,15783.954883800388,15036.94751411636,747.0073696840282,"[500,1e+03)",3,"$500 < $1,000"
PA,iitax,avgval,16504.087961241024,15959.3391535809,544.7488076601239,"[500,1e+03)",3,"$500 < $1,000"
RI,iitax,avgval,15452.414121508531,14808.066992737371,644.34712877116,"[500,1e+03)",3,"$500 < $1,000"
SC,iitax,avgval,14024.14806122584,13590.914372338128,433.23368888771256,"[200,500)",2,$200 < $500
SD,iitax,avgval,13888.95198977202,13761.257854747313,127.69413502470707,"[-Inf,200)",1,< $200
TN,iitax,avgval,15398.678209601809,15266.642343736752,132.03586586505662,"[-Inf,200)",1,< $200
TX,iitax,avgval,21395.346325327526,21065.003858001768,330.34246732575775,"[200,500)",2,$200 < $500
UT,iitax,avgval,15712.732335495726,15274.738793588345,437.99354190738086,"[200,500)",2,$200 < $500
VA,iitax,avgval,19418.404173346215,18679.047783971426,739.3563893747887,"[500,1e+03)",3,"$500 < $1,000"
VT,iitax,avgval,12934.338307716183,12399.767720214735,534.5705875014482,"[500,1e+03)",3,"$500 < $1,000"
WA,iitax,avgval,20824.70244663584,20561.47334700525,263.2290996305928,"[200,500)",2,$200 < $500
WI,iitax,avgval,13594.444048152558,13054.284156978723,540.1598911738347,"[500,1e+03)",3,"$500 < $1,000"
WV,iitax,avgval,10215.018720648446,9939.37767065754,275.64104999090523,"[200,500)",2,$200 < $500
WY,iitax,avgval,21836.680673174254,21686.68791361287,149.99275956138445,"[-Inf,200)",1,< $200
