stname,totchange,share,avgchange,avgpchange
United States,-55874634449.88818,1,-655.6287984726805,-0.03269663327101277
Alabama,-224471861.88874817,0.004017419784465317,-226.49434111238043,-0.016481919386548485
Alaska,-12963392.589502335,2.3200854407609062e-4,-60.56302270341621,-0.004170300268288107
Arizona,-537713617.6039562,0.009623572894892242,-333.37744959610245,-0.02049935126808217
Arkansas,-215765555.70467567,0.003861601204714592,-374.4234622781296,-0.023794844343069586
California,-12493853733.11673,0.223605109118378,-1187.3530699833173,-0.04543900139512931
Colorado,-793950014.0589294,0.01420948918728037,-480.2828589284072,-0.02484678866832047
Connecticut,-1506837247.2015915,0.026968180857684466,-1337.9256500763258,-0.04345864131848222
Delaware,-124400219.81586123,0.0022264167102056124,-455.8995486593176,-0.030429673314369136
Florida,-1540797133.9627838,0.02757596804225477,-296.28565596273984,-0.012114371281111097
Georgia,-1366393592.4350853,0.024454631442118003,-596.9417268976576,-0.03292189224472108
Hawaii,-172640030.85594988,0.0030897746814036718,-416.287324500885,-0.02925121813440165
Idaho,-168780513.19748068,0.0030207000879594738,-437.30481149648585,-0.032439547264978205
Illinois,-2718372442.759079,0.048651279234713976,-761.0108209314094,-0.03803390664342452
Indiana,-530167604.1348343,0.00948852031614312,-318.2993053609807,-0.02476587761778044
Iowa,-400259888.0102043,0.007163534794472473,-470.57037668842713,-0.0373048472084802
Kansas,-308768027.57388115,0.005526085863716985,-420.72964033390963,-0.02871236483468018
Kentucky,-437346166.37039375,0.007827275662315657,-449.15003042283934,-0.03686334026527551
Louisiana,-274464362.94176483,0.004912146014806082,-284.0838380729947,-0.018984442461711933
Maine,-185666461.58125734,0.0033229114321593365,-502.8090798965659,-0.04210281302945034
Maryland,-1822293595.7559586,0.032613968998585645,-969.885278249425,-0.05080080404576674
Massachusetts,-2336693582.0678787,0.04182029296609662,-1026.2120047608805,-0.03844609084442653
Michigan,-1130081375.154396,0.020225302344804113,-431.01094372555235,-0.02857420954870774
Minnesota,-1251690292.036148,0.02240176252354261,-724.3719522758856,-0.043085748373704276
Mississippi,-129865211.03019524,0.0023242247991200077,-239.03977196835876,-0.021534252488246457
Missouri,-658682354.588459,0.01178857564033293,-440.46288054684555,-0.030973707343261974
Montana,-110687325.8625865,0.0019809941837177964,-405.735048964576,-0.030614217885629534
Nebraska,-269185061.9860077,0.004817661263223645,-523.6030094132839,-0.03848741721790185
Nevada,-147827258.2804966,0.0026456953094355757,-193.39991757648022,-0.00982496484166282
New Hampshire,-173515754.4542923,0.003105447689504115,-381.2660841065772,-0.02131191614594019
New Jersey,-3718211951.9054184,0.0665456157076095,-1336.3952093653716,-0.05312341511272154
New Mexico,-104142083.26575518,0.0018638526102422418,-228.07578488289255,-0.018573495652325207
New York,-6899736796.177338,0.12348603018361484,-1211.5205655655263,-0.041388959847025855
North Carolina,-1184441560.370987,0.021198197930641805,-503.66685092371154,-0.032474917848453466
North Dakota,-33443083.2789073,5.98537844733483e-4,-149.94102682102857,-0.010471778621589949
Ohio,-1420150086.1523132,0.025416722635134042,-461.2339844039452,-0.034692202654912026
Oklahoma,-252607895.7317829,0.004520976257273544,-310.9596479317952,-0.021402443461870275
Oregon,-844696015.5365524,0.015117700972059655,-747.0073696840282,-0.04732700867326397
Pennsylvania,-1981266196.0203629,0.03545913482077962,-544.7488076601239,-0.03300690161973431
Rhode Island,-208326765.3246312,0.0037284676199800734,-644.34712877116,-0.04169880018127912
South Carolina,-488723353.0991554,0.008746783901333129,-433.23368888771256,-0.030891979106062284
South Dakota,-30047497.324896336,5.377663338781175e-4,-127.69413502470707,-0.009193935951304494
Tennessee,-200863390.37973404,0.0035948940401548525,-132.03586586505662,-0.008574493477156109
Texas,-2155819085.521103,0.038583144332775446,-330.34246732575775,-0.01543992148118223
Utah,-312577278.1962595,0.005594260817519944,-437.99354190738086,-0.027875071792442804
Vermont,-103415987.05464697,0.0018508575147350055,-534.5705875014482,-0.04132956590307691
Virginia,-1766704327.969162,0.03161907626534275,-739.3563893747887,-0.03807503349784183
Washington,-593970245.2695618,0.010630409507238403,-263.2290996305928,-0.012640233410543475
West Virginia,-104434385.70997047,0.0018690840081223917,-275.64104999090523,-0.02698390062014567
Wisconsin,-921381833.439745,0.01649016306793196,-540.1598911738347,-0.03973387137131516
Wyoming,-23414314.965244293,4.1905088410455185e-4,-149.99275956138445,-0.006868844299474797
