stubnum,stub,wtdsum_base,wtdsum_reform,wtdsum_change,change_share
0,Total,1275442247754.6462,1184218689158.6333,-91223558596.01294,1
1,Under $1,-8014627508.823365,-8014627508.823365,0,-0
2,$1 to < $25k,-188836511523.4503,-188849669281.3491,-13157757.898803711,1.4423640232095474e-4
3,$25k < 50k,-117290003132.47946,-117404977377.2297,-114974244.75024414,0.0012603569354207287
4,$50k < 75k,11047673243.568237,10609485655.328453,-438187588.23978424,0.00480344765084549
5,$75k < $100k,54839983982.75697,53929669277.54036,-910314705.2166138,0.009978943150507619
6,$100k < $200k,301915485722.28217,293932604996.13934,-7982880726.142822,0.08750898176966894
7,$200k < $500k,400486314090.6272,378745784730.1575,-21740529360.469727,0.23832143467180997
8,$500k < $1m,202858055287.2328,187715859327.10547,-15142195960.12732,0.16598997225250903
9,$1m+,618435877592.9319,573554559339.7644,-44881318253.16748,0.49199262716691566
