stabbr,variable,measure,base,reform,change,valgroup,valnum,vlabs
AK,iitax,avgval,14522.460927801994,14459.171196955367,63.28973084662721,"[-Inf,200)",1,< $200
AL,iitax,avgval,13741.988162933922,13429.347761015217,312.6404019187048,"[200,500)",2,$200 < $500
AR,iitax,avgval,15735.48693489071,15171.803522997026,563.683411893684,"[500,1e+03)",3,"$500 < $1,000"
AZ,iitax,avgval,16262.829259147175,15748.123489103366,514.705770043809,"[500,1e+03)",3,"$500 < $1,000"
CA,iitax,avgval,26130.703438183213,23941.340900775573,2189.36253740764,"[1e+03, Inf)",4,">= $1,000"
CO,iitax,avgval,19329.775985931148,18607.208033016646,722.5679529145018,"[500,1e+03)",3,"$500 < $1,000"
CT,iitax,avgval,30786.182206467853,28249.12068821564,2537.0615182522124,"[1e+03, Inf)",4,">= $1,000"
DE,iitax,avgval,14982.071741270984,14349.932596980945,632.1391442900385,"[500,1e+03)",3,"$500 < $1,000"
FL,iitax,avgval,24457.369605694083,23934.537745300546,522.8318603935368,"[500,1e+03)",3,"$500 < $1,000"
GA,iitax,avgval,18132.06004261117,17256.931850314035,875.1281922971357,"[500,1e+03)",3,"$500 < $1,000"
HI,iitax,avgval,14231.452604406228,13635.03125654815,596.4213478580768,"[500,1e+03)",3,"$500 < $1,000"
IA,iitax,avgval,12614.188554603066,12002.55521153534,611.633343067726,"[500,1e+03)",3,"$500 < $1,000"
ID,iitax,avgval,13480.607726255197,12813.559330788405,667.0483954667925,"[500,1e+03)",3,"$500 < $1,000"
IL,iitax,avgval,20008.747144121637,18930.26680159518,1078.4803425264581,"[1e+03, Inf)",4,">= $1,000"
IN,iitax,avgval,12852.332966890726,12395.11793791502,457.21502897570645,"[200,500)",2,$200 < $500
KS,iitax,avgval,14653.256280225725,14068.749279108317,584.5070011174084,"[500,1e+03)",3,"$500 < $1,000"
KY,iitax,avgval,12184.192403365281,11589.187911195973,595.0044921693079,"[500,1e+03)",3,"$500 < $1,000"
LA,iitax,avgval,14964.033768489047,14568.134713052352,395.89905543669556,"[200,500)",2,$200 < $500
MA,iitax,avgval,26692.232739954856,25032.8439007658,1659.3888391890541,"[1e+03, Inf)",4,">= $1,000"
MD,iitax,avgval,19091.927706019174,17771.79884742161,1320.1288585975635,"[1e+03, Inf)",4,">= $1,000"
ME,iitax,avgval,11942.410582990211,11299.302684852866,643.1078981373448,"[500,1e+03)",3,"$500 < $1,000"
