stname,base,reform,change,share,pchange
United States,1275442247754.6462,1184218689158.6333,-91223558596.01294,1,-0.07152308052881858
California,225674193219.80328,202724753876.63794,-22949439343.165344,0.2515736033144445,-0.10169279444731606
New York,140131997348.2068,124838329627.64792,-15293667720.558868,0.1676504178957485,-0.10913758463426751
New Jersey,59296222135.70886,53514835773.61881,-5781386362.09005,0.06337602315749534,-0.09750007932813029
Illinois,54705434215.05856,50869238718.985916,-3836195496.072647,0.042052684143373396,-0.07012457813590796
Massachusetts,53654995120.13827,49889695391.1034,-3765299729.0348663,0.041275519032420584,-0.07017612657692034
Connecticut,30593556131.430492,27753194564.919285,-2840361566.5112076,0.0311362723645748,-0.09284182441259724
Florida,95502453501.0373,92787447508.6451,-2715005992.3921967,0.02976211446010022,-0.028428651755661
Pennsylvania,44363263446.063675,41724424359.93113,-2638839086.1325455,0.028927166696256026,-0.05948252858676221
Texas,98214129783.65077,95636827479.46248,-2577302304.1882935,0.02825259553403279,-0.0262416651235994
Maryland,28777968186.204243,26306394777.640938,-2471573408.563305,0.02709358686070079,-0.0858842220052263
Virginia,36368715904.669205,33969866587.11832,-2398849317.5508842,0.026296379515014113,-0.06595914257294158
Georgia,26102015380.8463,24103428223.649815,-1998587157.1964836,0.02190867346062769,-0.07656830815688853
Minnesota,22907981718.808266,20994204116.294136,-1913777602.5141296,0.020978984288360945,-0.08354195607476193
Ohio,24936647655.91823,23094960067.68476,-1841687588.233467,0.02018872774290084,-0.07385465815796528
North Carolina,21843326229.457214,20215042062.25682,-1628284167.2003937,0.017849382245778343,-0.0745437828513746
Michigan,26940033433.186882,25372961377.420906,-1567072055.765976,0.01717837014784542,-0.058168897958216025
Wisconsin,16213536699.811356,14937850597.943563,-1275686101.8677921,0.01398417384172895,-0.07868031050144875
Colorado,25617418418.314903,24424386950.62381,-1193031467.6910934,0.013078107081685768,-0.04657110440286005
Oregon,12749986616.18439,11600864287.988476,-1149122328.1959133,0.012596771556400755,-0.09012733603478905
Missouri,13169626688.227627,12180249265.46363,-989377422.7639961,0.010845635031028469,-0.07512569992955107
Arizona,17210336696.373505,16381318515.769655,-829018180.6038494,0.009087764096938912,-0.04816978280143333
Indiana,12495513685.97079,11735698009.243309,-759815676.7274818,0.008329160673202357,-0.06080707811000656
Washington,38787163993.30194,38072407418.356606,-714756574.9453354,0.007835219168665218,-0.018427657538168166
South Carolina,8453162329.98672,7808844906.258832,-644317423.7278881,0.007063059517128385,-0.07622205732903514
Kentucky,5595356517.596571,5018459927.366165,-576896590.2304058,0.0063239869076497516,-0.1031027403555343
Iowa,6994519878.614248,6476509867.212023,-518010011.4022255,0.005678467485534662,-0.07405940942223091
Utah,7351030230.263542,6861469531.223052,-489560699.04049015,0.0053666038310183515,-0.06659756302252873
Kansas,7114791390.4255295,6687081320.485119,-427710069.9404106,0.004688592250983556,-0.060115616392630404
Louisiana,7647712088.737896,7265521918.306934,-382190170.4309616,0.004189599444629271,-0.04997444542842807
Nebraska,4546329586.7444315,4190411825.7872133,-355917760.95721817,0.003901599174983008,-0.07828683648342494
Oklahoma,6497485530.176283,6150373777.532499,-347111752.64378357,0.003805067002274943,-0.05342247412967553
Arkansas,4637982042.318436,4313788164.93873,-324193877.3797054,0.003553839406938843,-0.06989976986147349
Alabama,6439665110.680139,6130106787.035802,-309558323.6443367,0.0033934032875786806,-0.04807056241650461
Nevada,10889593402.848625,10590509537.964142,-299083864.88448334,0.0032785814266355013,-0.027465108550907467
Tennessee,13631964681.404072,13343339175.68613,-288625505.7179413,0.0031639360507314837,-0.02117270052141987
Rhode Island,3661859566.8462677,3374627774.523541,-287231792.3227267,0.0031486580521896085,-0.07843877873506265
Idaho,2842528985.7706957,2586030478.9390864,-256498506.83160925,0.0028117573001895575,-0.09023602155531397
Hawaii,4263680862.386408,4016862104.4345975,-246818757.95181036,0.0027056471129881785,-0.05788865675412311
Maine,2645184193.624421,2408734819.3320475,-236449374.29237366,0.002591977093762576,-0.089388623621099
New Hampshire,6602835352.42524,6381641410.785192,-221193941.64004803,0.00242474581176573,-0.033499842088111874
Delaware,2919752332.9504924,2747519424.5402536,-172232908.41023874,0.0018880310202869727,-0.058988876031205194
Mississippi,1170767129.0493908,1003052477.0979185,-167714651.95147228,0.0018385015289110033,-0.1432519309690979
Montana,2245526637.793679,2085506943.845242,-160019693.9484372,0.0017541487792324636,-0.0712615433970817
New Mexico,2681596163.4164715,2541294423.2518926,-140301740.1645789,0.0015379989810078622,-0.05232023452249735
West Virginia,1476103317.7645192,1343063956.0283914,-133039361.73612785,0.0014583882034825875,-0.0901287600502172
Vermont,1721808359.9743347,1590072949.4119363,-131735410.56239843,0.00144409418564555,-0.07650991459024051
Wyoming,2742637272.8953323,2681676453.534494,-60960819.36083841,6.682574139735741e-4,-0.02222708046860445
North Dakota,2405725370.009165,2358701005.951946,-47024364.05721903,5.154848679546502e-4,-0.019546854617507686
South Dakota,2194561409.4972405,2152449729.118242,-42111680.37899876,4.616316336166183e-4,-0.01918911004119327
Alaska,2323619972.8408585,2310077168.1521735,-13542804.68868494,1.4845731625818035e-4,-0.005828321690714125
