stabbr,variable,measure,base,reform,change,us_change
AK,iitax,wtdsum,2323619972.8408585,2310077168.1521735,-13542804.68868494,-91223558596.01294
AL,iitax,wtdsum,6439665110.680139,6130106787.035802,-309558323.6443367,-91223558596.01294
AR,iitax,wtdsum,4637982042.318436,4313788164.93873,-324193877.3797054,-91223558596.01294
AZ,iitax,wtdsum,17210336696.373505,16381318515.769655,-829018180.6038494,-91223558596.01294
CA,iitax,wtdsum,225674193219.80328,202724753876.63794,-22949439343.165344,-91223558596.01294
CO,iitax,wtdsum,25617418418.314903,24424386950.62381,-1193031467.6910934,-91223558596.01294
CT,iitax,wtdsum,30593556131.430492,27753194564.919285,-2840361566.5112076,-91223558596.01294
DE,iitax,wtdsum,2919752332.9504924,2747519424.5402536,-172232908.41023874,-91223558596.01294
FL,iitax,wtdsum,95502453501.0373,92787447508.6451,-2715005992.3921967,-91223558596.01294
GA,iitax,wtdsum,26102015380.8463,24103428223.649815,-1998587157.1964836,-91223558596.01294
HI,iitax,wtdsum,4263680862.386408,4016862104.4345975,-246818757.95181036,-91223558596.01294
IA,iitax,wtdsum,6994519878.614248,6476509867.212023,-518010011.4022255,-91223558596.01294
ID,iitax,wtdsum,2842528985.7706957,2586030478.9390864,-256498506.83160925,-91223558596.01294
IL,iitax,wtdsum,54705434215.05856,50869238718.985916,-3836195496.072647,-91223558596.01294
IN,iitax,wtdsum,12495513685.97079,11735698009.243309,-759815676.7274818,-91223558596.01294
KS,iitax,wtdsum,7114791390.4255295,6687081320.485119,-427710069.9404106,-91223558596.01294
KY,iitax,wtdsum,5595356517.596571,5018459927.366165,-576896590.2304058,-91223558596.01294
LA,iitax,wtdsum,7647712088.737896,7265521918.306934,-382190170.4309616,-91223558596.01294
MA,iitax,wtdsum,53654995120.13827,49889695391.1034,-3765299729.0348663,-91223558596.01294
MD,iitax,wtdsum,28777968186.204243,26306394777.640938,-2471573408.563305,-91223558596.01294
ME,iitax,wtdsum,2645184193.624421,2408734819.3320475,-236449374.29237366,-91223558596.01294
MI,iitax,wtdsum,26940033433.186882,25372961377.420906,-1567072055.765976,-91223558596.01294
MN,iitax,wtdsum,22907981718.808266,20994204116.294136,-1913777602.5141296,-91223558596.01294
MO,iitax,wtdsum,13169626688.227627,12180249265.46363,-989377422.7639961,-91223558596.01294
MS,iitax,wtdsum,1170767129.0493908,1003052477.0979185,-167714651.95147228,-91223558596.01294
MT,iitax,wtdsum,2245526637.793679,2085506943.845242,-160019693.9484372,-91223558596.01294
NC,iitax,wtdsum,21843326229.457214,20215042062.25682,-1628284167.2003937,-91223558596.01294
ND,iitax,wtdsum,2405725370.009165,2358701005.951946,-47024364.05721903,-91223558596.01294
NE,iitax,wtdsum,4546329586.7444315,4190411825.7872133,-355917760.95721817,-91223558596.01294
NH,iitax,wtdsum,6602835352.42524,6381641410.785192,-221193941.64004803,-91223558596.01294
NJ,iitax,wtdsum,59296222135.70886,53514835773.61881,-5781386362.09005,-91223558596.01294
NM,iitax,wtdsum,2681596163.4164715,2541294423.2518926,-140301740.1645789,-91223558596.01294
NV,iitax,wtdsum,10889593402.848625,10590509537.964142,-299083864.88448334,-91223558596.01294
NY,iitax,wtdsum,140131997348.2068,124838329627.64792,-15293667720.558868,-91223558596.01294
OH,iitax,wtdsum,24936647655.91823,23094960067.68476,-1841687588.233467,-91223558596.01294
OK,iitax,wtdsum,6497485530.176283,6150373777.532499,-347111752.64378357,-91223558596.01294
OR,iitax,wtdsum,12749986616.18439,11600864287.988476,-1149122328.1959133,-91223558596.01294
PA,iitax,wtdsum,44363263446.063675,41724424359.93113,-2638839086.1325455,-91223558596.01294
RI,iitax,wtdsum,3661859566.8462677,3374627774.523541,-287231792.3227267,-91223558596.01294
SC,iitax,wtdsum,8453162329.98672,7808844906.258832,-644317423.7278881,-91223558596.01294
SD,iitax,wtdsum,2194561409.4972405,2152449729.118242,-42111680.37899876,-91223558596.01294
TN,iitax,wtdsum,13631964681.404072,13343339175.68613,-288625505.7179413,-91223558596.01294
TX,iitax,wtdsum,98214129783.65077,95636827479.46248,-2577302304.1882935,-91223558596.01294
UT,iitax,wtdsum,7351030230.263542,6861469531.223052,-489560699.04049015,-91223558596.01294
VA,iitax,wtdsum,36368715904.669205,33969866587.11832,-2398849317.5508842,-91223558596.01294
VT,iitax,wtdsum,1721808359.9743347,1590072949.4119363,-131735410.56239843,-91223558596.01294
WA,iitax,wtdsum,38787163993.30194,38072407418.356606,-714756574.9453354,-91223558596.01294
WI,iitax,wtdsum,16213536699.811356,14937850597.943563,-1275686101.8677921,-91223558596.01294
WV,iitax,wtdsum,1476103317.7645192,1343063956.0283914,-133039361.73612785,-91223558596.01294
WY,iitax,wtdsum,2742637272.8953323,2681676453.534494,-60960819.36083841,-91223558596.01294
