stabbr,variable,measure,base,reform,change,valgroup,valnum,vlabs
AK,iitax,avgval,14531.851221715911,14472.001941874592,59.849279841319,"[-Inf,200)",1,< $200
AL,iitax,avgval,13751.377708383676,13531.738427704882,219.6392806787935,"[200,500)",2,$200 < $500
AR,iitax,avgval,15749.590335874112,15385.275396921279,364.3149389528335,"[200,500)",2,$200 < $500
AZ,iitax,avgval,16274.281887059991,15951.561825829636,322.720061230355,"[200,500)",2,$200 < $500
CA,iitax,avgval,26154.321385155978,24999.02409858412,1155.2972865718584,"[1e+03, Inf)",4,">= $1,000"
CO,iitax,avgval,19344.52419400239,18878.827013083268,465.69718091912364,"[200,500)",2,$200 < $500
CT,iitax,avgval,30817.690358115513,29520.988975057724,1296.701383057789,"[1e+03, Inf)",4,">= $1,000"
DE,iitax,avgval,14991.47903354305,14547.338405387876,444.14062815517354,"[200,500)",2,$200 < $500
FL,iitax,avgval,24479.69459613754,24194.87574064953,284.8188554880071,"[200,500)",2,$200 < $500
GA,iitax,avgval,18148.57981280925,17568.332474957522,580.2473378517279,"[500,1e+03)",3,"$500 < $1,000"
HI,iitax,avgval,14239.822944574873,13833.232189187589,406.59075538728393,"[200,500)",2,$200 < $500
IA,iitax,avgval,12623.544296693208,12163.204590561283,460.3397061319247,"[200,500)",2,$200 < $500
ID,iitax,avgval,13491.36454904376,13065.827823022079,425.5367260216808,"[200,500)",2,$200 < $500
IL,iitax,avgval,20027.72736023769,19285.859815664262,741.8675445734298,"[500,1e+03)",3,"$500 < $1,000"
IN,iitax,avgval,12862.87559995532,12553.338965862946,309.5366340923738,"[200,500)",2,$200 < $500
KS,iitax,avgval,14665.511783081774,14255.495609059235,410.0161740225394,"[200,500)",2,$200 < $500
KY,iitax,avgval,12193.570306485313,11754.875030774394,438.6952757109193,"[200,500)",2,$200 < $500
LA,iitax,avgval,14975.780575770435,14700.203731693375,275.57684407706074,"[200,500)",2,$200 < $500
MA,iitax,avgval,26716.31040608193,25718.776127686793,997.5342783951382,"[500,1e+03)",3,"$500 < $1,000"
MD,iitax,avgval,19105.969918296763,18155.535573806395,950.434344490368,"[500,1e+03)",3,"$500 < $1,000"
ME,iitax,avgval,11949.534015685676,11457.268067147752,492.2659485379245,"[200,500)",2,$200 < $500
MI,iitax,avgval,15095.67714790948,14675.579346772569,420.0978011369116,"[200,500)",2,$200 < $500
MN,iitax,avgval,16827.027872475643,16120.742747408503,706.2851250671392,"[500,1e+03)",3,"$500 < $1,000"
MO,iitax,avgval,14231.105451966674,13802.74655045389,428.35890151278363,"[200,500)",2,$200 < $500
MS,iitax,avgval,11106.891841780474,10874.15593873998,232.73590304049503,"[200,500)",2,$200 < $500
MT,iitax,avgval,13261.8621018749,12866.254198006283,395.60790386861663,"[200,500)",2,$200 < $500
NC,iitax,avgval,15521.453996634737,15031.22538357364,490.22861306109735,"[200,500)",2,$200 < $500
ND,iitax,avgval,14330.427374228375,14185.44959379453,144.9777804338446,"[-Inf,200)",1,< $200
NE,iitax,avgval,13615.755079111259,13104.144536476377,511.6105426348822,"[500,1e+03)",3,"$500 < $1,000"
NH,iitax,avgval,17905.826230926254,17531.544123453456,374.2821074727981,"[200,500)",2,$200 < $500
NJ,iitax,avgval,25179.133501664008,23875.966339863557,1303.1671618004511,"[1e+03, Inf)",4,">= $1,000"
NM,iitax,avgval,12285.94877351291,12063.201801368952,222.74697214395746,"[200,500)",2,$200 < $500
NV,iitax,avgval,19701.287088517507,19515.780110933825,185.50697758368187,"[-Inf,200)",1,< $200
NY,iitax,avgval,29298.505587179337,28123.891036592126,1174.6145505872119,"[1e+03, Inf)",4,">= $1,000"
OH,iitax,avgval,13306.07369121699,12855.585324001118,450.48836721587213,"[200,500)",2,$200 < $500
OK,iitax,avgval,14541.210892694628,14238.899199932574,302.311692762054,"[200,500)",2,$200 < $500
OR,iitax,avgval,15794.863835601132,15063.42128750876,731.4425480923728,"[500,1e+03)",3,"$500 < $1,000"
PA,iitax,avgval,16517.81991533975,15985.586408970597,532.2335063691535,"[500,1e+03)",3,"$500 < $1,000"
RI,iitax,avgval,15462.786217851595,14832.743519135624,630.0426987159717,"[500,1e+03)",3,"$500 < $1,000"
SC,iitax,avgval,14034.173234610518,13611.679988124688,422.49324648583024,"[200,500)",2,$200 < $500
SD,iitax,avgval,13900.456571372544,13776.781293437116,123.67527793542831,"[-Inf,200)",1,< $200
TN,iitax,avgval,15411.00348331473,15283.68478523111,127.31869808361989,"[-Inf,200)",1,< $200
TX,iitax,avgval,21419.752009098593,21096.69402141156,323.05798768703244,"[200,500)",2,$200 < $500
UT,iitax,avgval,15730.783706248849,15305.465433287254,425.31827296159463,"[200,500)",2,$200 < $500
VA,iitax,avgval,19434.09224817113,18710.785507389857,723.3067407812741,"[500,1e+03)",3,"$500 < $1,000"
VT,iitax,avgval,12941.99162634223,12418.389313493473,523.6023128487559,"[500,1e+03)",3,"$500 < $1,000"
WA,iitax,avgval,20843.986212702428,20586.280217713098,257.70599498933007,"[200,500)",2,$200 < $500
WI,iitax,avgval,13604.657568221932,13077.322136905388,527.3354313165437,"[500,1e+03)",3,"$500 < $1,000"
WV,iitax,avgval,10220.918996329632,9951.6444246789,269.27457165073247,"[200,500)",2,$200 < $500
WY,iitax,avgval,21863.019775554192,21720.571777474004,142.44799808018797,"[-Inf,200)",1,< $200
