stabbr,variable,measure,base,reform,change,us_change
AK,iitax,wtdsum,2305605490.931345,2292813048.8563647,-12792442.074980259,-54329179300.43555
AL,iitax,wtdsum,6295249153.343005,6077879547.878712,-217369605.46429348,-54329179300.43555
AR,iitax,wtdsum,4551309440.102848,4341630232.961592,-209679207.14125633,-54329179300.43555
AZ,iitax,wtdsum,17026957046.526651,16507059291.315788,-519897755.2108631,-54329179300.43555
CA,iitax,wtdsum,224693004036.417,212549291352.3026,-12143712684.11438,-54329179300.43555
CO,iitax,wtdsum,25474177561.242012,24705303307.82131,-768874253.4207039,-54329179300.43555
CT,iitax,wtdsum,30510083282.59749,29051085168.20168,-1458998114.3958092,-54329179300.43555
DE,iitax,wtdsum,2894700013.864951,2773647614.934021,-121052398.93093014,-54329179300.43555
FL,iitax,wtdsum,94910805690.50226,93431297168.76299,-1479508521.739273,-54329179300.43555
GA,iitax,wtdsum,25794649025.200256,24468093468.055954,-1326555557.1443024,-54329179300.43555
HI,iitax,wtdsum,4228700566.8985243,4060259801.7100253,-168440765.18849897,-54329179300.43555
IA,iitax,wtdsum,6913297344.095495,6522143115.35918,-391154228.7363148,-54329179300.43555
ID,iitax,wtdsum,2793580792.492581,2629521276.5959888,-164059515.89659214,-54329179300.43555
IL,iitax,wtdsum,54364637120.209305,51717455722.44008,-2647181397.769226,-54329179300.43555
IN,iitax,wtdsum,12307195011.567095,11792325114.724512,-514869896.8425827,-54329179300.43555
KS,iitax,wtdsum,7037838922.04587,6737295842.187541,-300543079.8583288,-54329179300.43555
KY,iitax,wtdsum,5469432786.583836,5042679377.648052,-426753408.9357834,-54329179300.43555
LA,iitax,wtdsum,7510608455.892569,7244770483.223638,-265837972.668931,-54329179300.43555
MA,iitax,wtdsum,53501576025.86913,51232522692.155304,-2269053333.713829,-54329179300.43555
MD,iitax,wtdsum,28625454046.356323,26841599336.57929,-1783854709.7770348,-54329179300.43555
ME,iitax,wtdsum,2609982482.213863,2428366142.883582,-181616339.33028078,-54329179300.43555
MI,iitax,wtdsum,26685144464.553165,25584884329.424744,-1100260135.1284218,-54329179300.43555
MN,iitax,wtdsum,22766213219.2817,21547274753.875458,-1218938465.4062424,-54329179300.43555
MO,iitax,wtdsum,13004452215.651352,12364584639.552479,-639867576.0988731,-54329179300.43555
MS,iitax,wtdsum,1077465941.7588844,951182483.0427961,-126283458.7160883,-54329179300.43555
MT,iitax,wtdsum,2218274198.9989433,2110438708.4657388,-107835490.53320456,-54329179300.43555
NC,iitax,wtdsum,21548708608.766792,20397240054.601715,-1151468554.1650772,-54329179300.43555
ND,iitax,wtdsum,2387027146.395776,2354746169.2083864,-32280977.187389374,-54329179300.43555
NE,iitax,wtdsum,4494031616.067149,4231295251.115753,-262736364.951396,-54329179300.43555
NH,iitax,wtdsum,6569077212.782302,6398926667.477919,-170150545.30438328,-54329179300.43555
NJ,iitax,wtdsum,59076700823.419266,55454777759.63691,-3621923063.7823563,-54329179300.43555
NM,iitax,wtdsum,2625706979.9463673,2524102926.792249,-101604053.15411806,-54329179300.43555
NV,iitax,wtdsum,10805371298.073507,10663742464.18258,-141628833.89092636,-54329179300.43555
NY,iitax,wtdsum,139642988500.8283,132958957645.75316,-6684030855.07515,-54329179300.43555
OH,iitax,wtdsum,24604715681.06368,23219245417.46237,-1385470263.601307,-54329179300.43555
OK,iitax,wtdsum,6389185192.424287,6143943915.100418,-245241277.32386875,-54329179300.43555
OR,iitax,wtdsum,12646463122.48999,11820084616.530304,-826378505.9596863,-54329179300.43555
PA,iitax,wtdsum,44039071667.51695,42105391979.4949,-1933679688.022049,-54329179300.43555
RI,iitax,wtdsum,3634754946.2047415,3431232582.1130667,-203522364.0916748,-54329179300.43555
SC,iitax,wtdsum,8306602694.035244,7830508013.622397,-476094680.41284657,-54329179300.43555
SD,iitax,wtdsum,2171790961.7657614,2142726311.0600536,-29064650.70570779,-54329179300.43555
TN,iitax,wtdsum,13435787321.571146,13242363126.771343,-193424194.79980278,-54329179300.43555
TX,iitax,wtdsum,97387587350.52542,95282156828.62299,-2105430521.9024353,-54329179300.43555
UT,iitax,wtdsum,7263251233.170398,6960140228.682175,-303111004.4882231,-54329179300.43555
VA,iitax,wtdsum,36149376599.07604,34423108317.081696,-1726268281.9943466,-54329179300.43555
VT,iitax,wtdsum,1706131685.4577336,1604927522.8764372,-101204162.58129644,-54329179300.43555
WA,iitax,wtdsum,38603505403.26214,38022686121.563194,-580819281.6989441,-54329179300.43555
WI,iitax,wtdsum,16065471281.121479,15166759959.549248,-898711321.5722313,-54329179300.43555
WV,iitax,wtdsum,1428353969.3443198,1326460463.1918263,-101893506.15249348,-54329179300.43555
WY,iitax,wtdsum,2727460239.1002545,2705262207.3055477,-22198031.79470682,-54329179300.43555
