stname,base,reform,change,share,pchange
United States,1266706821903.9243,1212377642603.4888,-54329179300.43555,1,-0.04289009766188521
California,224693004036.417,212549291352.3026,-12143712684.11438,0.2235210036389603,-0.05404579789296063
New York,139642988500.8283,132958957645.75316,-6684030855.07515,0.12302837887745462,-0.04786513756854683
New Jersey,59076700823.419266,55454777759.63691,-3621923063.7823563,0.06666625762471844,-0.061308824177712856
Illinois,54364637120.209305,51717455722.44008,-2647181397.769226,0.04872485525928061,-0.0486930758300817
Massachusetts,53501576025.86913,51232522692.155304,-2269053333.713829,0.041764910917688726,-0.042410962484856415
Texas,97387587350.52542,95282156828.62299,-2105430521.9024353,0.038753217865846845,-0.02161908492839438
Pennsylvania,44039071667.51695,42105391979.4949,-1933679688.022049,0.03559191787766518,-0.043908275420081654
Maryland,28625454046.356323,26841599336.57929,-1783854709.7770348,0.032834192099837844,-0.062317079997691704
Virginia,36149376599.07604,34423108317.081696,-1726268281.9943466,0.03177423815751451,-0.047753749701964956
Florida,94910805690.50226,93431297168.76299,-1479508521.739273,0.027232300225956334,-0.015588409675541589
Connecticut,30510083282.59749,29051085168.20168,-1458998114.3958092,0.026854779203044445,-0.04782019442169142
Ohio,24604715681.06368,23219245417.46237,-1385470263.601307,0.02550140240366561,-0.056309135271479474
Georgia,25794649025.200256,24468093468.055954,-1326555557.1443024,0.02441699974535908,-0.05142754824259539
Minnesota,22766213219.2817,21547274753.875458,-1218938465.4062424,0.022436165631467036,-0.05354155535949519
North Carolina,21548708608.766792,20397240054.601715,-1151468554.1650772,0.021194293177107613,-0.05343561765444349
Michigan,26685144464.553165,25584884329.424744,-1100260135.1284218,0.020251734874257545,-0.04123118526077072
Wisconsin,16065471281.121479,15166759959.549248,-898711321.5722313,0.016541963879160355,-0.055940551375439955
Oregon,12646463122.48999,11820084616.530304,-826378505.9596863,0.015210583274042967,-0.06534463414439458
Colorado,25474177561.242012,24705303307.82131,-768874253.4207039,0.014152141875158787,-0.03018249564965413
Missouri,13004452215.651352,12364584639.552479,-639867576.0988731,0.01177760430652674,-0.049203731575003844
Washington,38603505403.26214,38022686121.563194,-580819281.6989441,0.010690742786432774,-0.015045765290782704
Arizona,17026957046.526651,16507059291.315788,-519897755.2108631,0.009569401966038813,-0.030533803179876914
Indiana,12307195011.567095,11792325114.724512,-514869896.8425827,0.009476857620016635,-0.04183486946933682
South Carolina,8306602694.035244,7830508013.622397,-476094680.41284657,0.008763148763578503,-0.05731521031512893
Kentucky,5469432786.583836,5042679377.648052,-426753408.9357834,0.00785495776727778,-0.07802516743282445
Iowa,6913297344.095495,6522143115.35918,-391154228.7363148,0.007199708034852994,-0.05657998047348441
Utah,7263251233.170398,6960140228.682175,-303111004.4882231,0.0055791566961106865,-0.04173213823362621
Kansas,7037838922.04587,6737295842.187541,-300543079.8583288,0.005531890665904453,-0.04270388725676635
Louisiana,7510608455.892569,7244770483.223638,-265837972.668931,0.00489309752313523,-0.03539499818558156
Nebraska,4494031616.067149,4231295251.115753,-262736364.951396,0.004836008353788802,-0.05846339932546443
Oklahoma,6389185192.424287,6143943915.100418,-245241277.32386875,0.004513988256065976,-0.038383811071035084
Alabama,6295249153.343005,6077879547.878712,-217369605.46429348,0.004000973478032106,-0.0345291505021469
Arkansas,4551309440.102848,4341630232.961592,-209679207.14125633,0.0038594215823093683,-0.046070083763963564
Rhode Island,3634754946.2047415,3431232582.1130667,-203522364.0916748,0.003746096788361447,-0.05599342104319421
Tennessee,13435787321.571146,13242363126.771343,-193424194.79980278,0.003560226701202021,-0.014396193551624652
Maine,2609982482.213863,2428366142.883582,-181616339.33028078,0.0033428875913247007,-0.06958527138321194
New Hampshire,6569077212.782302,6398926667.477919,-170150545.30438328,0.0031318445722043,-0.025901742328937678
Hawaii,4228700566.8985243,4060259801.7100253,-168440765.18849897,0.003100373820429653,-0.03983274826953266
Idaho,2793580792.492581,2629521276.5959888,-164059515.89659214,0.0030197311648931333,-0.05872732098440924
Nevada,10805371298.073507,10663742464.18258,-141628833.89092636,0.002606864961234394,-0.013107262118440799
Mississippi,1077465941.7588844,951182483.0427961,-126283458.7160883,0.002324413148554149,-0.11720413037830205
Delaware,2894700013.864951,2773647614.934021,-121052398.93093014,0.0022281286131992,-0.04181863348572109
Montana,2218274198.9989433,2110438708.4657388,-107835490.53320456,0.001984854030959751,-0.0486123359239666
West Virginia,1428353969.3443198,1326460463.1918263,-101893506.15249348,0.001875483993399411,-0.07133631322442244
New Mexico,2625706979.9463673,2524102926.792249,-101604053.15411806,0.0018701562302691275,-0.0386958841676208
Vermont,1706131685.4577336,1604927522.8764372,-101204162.58129644,0.0018627957183311456,-0.05931790813330135
North Dakota,2387027146.395776,2354746169.2083864,-32280977.187389374,5.941738418112012e-4,-0.013523506524059068
South Dakota,2171790961.7657614,2142726311.0600536,-29064650.70570779,5.34973122729921e-4,-0.013382803049367583
Wyoming,2727460239.1002545,2705262207.3055477,-22198031.79470682,4.08583970539177e-4,-0.00813871875251593
Alaska,2305605490.931345,2292813048.8563647,-12792442.074980259,2.3546172130153463e-4,-0.00554840892134273
