stubnum,stub,wtdsum_base,wtdsum_reform,wtdsum_change,change_share
0,Total,1266706821903.9243,1210832187454.0361,-55874634449.88818,1
1,Under $1,-8065450410.37552,-8065450410.37552,0,-0
2,$1 to < $25k,-191118594395.95258,-191131752153.8514,-13157757.898834229,2.3548714060286007e-4
3,$25k < 50k,-119673212441.23816,-119788186685.9884,-114974244.75024414,0.00205771806620695
4,$50k < 75k,9825789044.400467,9387601456.160683,-438187588.23978424,0.007842334765210462
5,$75k < $100k,53969633215.27707,53059318510.060455,-910314705.2166138,0.016292092363182083
6,$100k < $200k,300095475480.36926,292149058842.2848,-7946416638.084473,0.14221867787271716
7,$200k < $500k,400379248531.2791,378688317374.0847,-21690931157.194397,0.38820712423001463
8,$500k < $1m,202858055287.2328,189124622988.57153,-13733432298.661255,0.2457901055438357
9,$1m+,618435877592.9319,607408657533.0892,-11027220059.842651,0.1973564600182314
