stabbr,variable,measure,base,reform,change,us_change
AK,iitax,wtdsum,2305605490.931345,2292642098.3418417,-12963392.589503288,-55874634449.88818
AL,iitax,wtdsum,6295249153.343005,6070777291.454257,-224471861.88874817,-55874634449.88818
AR,iitax,wtdsum,4551309440.102848,4335543884.398171,-215765555.70467663,-55874634449.88818
AZ,iitax,wtdsum,17026957046.526651,16489243428.922691,-537713617.60396,-55874634449.88818
CA,iitax,wtdsum,224693004036.417,212199150303.3003,-12493853733.1167,-55874634449.88818
CO,iitax,wtdsum,25474177561.242012,24680227547.183086,-793950014.0589256,-55874634449.88818
CT,iitax,wtdsum,30510083282.59749,29003246035.395897,-1506837247.2015915,-55874634449.88818
DE,iitax,wtdsum,2894700013.864951,2770299794.0490894,-124400219.8158617,-55874634449.88818
FL,iitax,wtdsum,94910805690.50226,93370008556.53946,-1540797133.962799,-55874634449.88818
GA,iitax,wtdsum,25794649025.200256,24428255432.765175,-1366393592.4350815,-55874634449.88818
HI,iitax,wtdsum,4228700566.8985243,4056060536.042574,-172640030.85595036,-55874634449.88818
IA,iitax,wtdsum,6913297344.095495,6513037456.085291,-400259888.0102043,-55874634449.88818
ID,iitax,wtdsum,2793580792.492581,2624800279.2951007,-168780513.1974802,-55874634449.88818
IL,iitax,wtdsum,54364637120.209305,51646264677.450226,-2718372442.759079,-55874634449.88818
IN,iitax,wtdsum,12307195011.567095,11777027407.43226,-530167604.1348343,-55874634449.88818
KS,iitax,wtdsum,7037838922.04587,6729070894.471988,-308768027.5738821,-55874634449.88818
KY,iitax,wtdsum,5469432786.583836,5032086620.213443,-437346166.3703928,-55874634449.88818
LA,iitax,wtdsum,7510608455.892569,7236144092.950803,-274464362.9417658,-55874634449.88818
MA,iitax,wtdsum,53501576025.86913,51164882443.80127,-2336693582.0678635,-55874634449.88818
MD,iitax,wtdsum,28625454046.356323,26803160450.600365,-1822293595.7559586,-55874634449.88818
ME,iitax,wtdsum,2609982482.213863,2424316020.6326056,-185666461.58125734,-55874634449.88818
MI,iitax,wtdsum,26685144464.553165,25555063089.39877,-1130081375.154396,-55874634449.88818
MN,iitax,wtdsum,22766213219.2817,21514522927.24555,-1251690292.036152,-55874634449.88818
MO,iitax,wtdsum,13004452215.651352,12345769861.06289,-658682354.5884628,-55874634449.88818
MS,iitax,wtdsum,1077465941.7588844,947600730.7286892,-129865211.03019524,-55874634449.88818
MT,iitax,wtdsum,2218274198.9989433,2107586873.136357,-110687325.86258626,-55874634449.88818
NC,iitax,wtdsum,21548708608.766792,20364267048.395805,-1184441560.370987,-55874634449.88818
ND,iitax,wtdsum,2387027146.395776,2353584063.1168685,-33443083.2789073,-55874634449.88818
NE,iitax,wtdsum,4494031616.067149,4224846554.081141,-269185061.98600817,-55874634449.88818
NH,iitax,wtdsum,6569077212.782302,6395561458.32801,-173515754.4542923,-55874634449.88818
NJ,iitax,wtdsum,59076700823.419266,55358488871.513855,-3718211951.905411,-55874634449.88818
NM,iitax,wtdsum,2625706979.9463673,2521564896.680612,-104142083.26575518,-55874634449.88818
NV,iitax,wtdsum,10805371298.073507,10657544039.793013,-147827258.2804947,-55874634449.88818
NY,iitax,wtdsum,139642988500.8283,132743251704.65094,-6899736796.177368,-55874634449.88818
OH,iitax,wtdsum,24604715681.06368,23184565594.91137,-1420150086.1523094,-55874634449.88818
OK,iitax,wtdsum,6389185192.424287,6136577296.692506,-252607895.731781,-55874634449.88818
OR,iitax,wtdsum,12646463122.48999,11801767106.953442,-844696015.5365486,-55874634449.88818
PA,iitax,wtdsum,44039071667.51695,42057805471.49658,-1981266196.0203705,-55874634449.88818
RI,iitax,wtdsum,3634754946.2047415,3426428180.88011,-208326765.3246317,-55874634449.88818
SC,iitax,wtdsum,8306602694.035244,7817879340.936091,-488723353.09915257,-55874634449.88818
SD,iitax,wtdsum,2171790961.7657614,2141743464.440865,-30047497.324896336,-55874634449.88818
TN,iitax,wtdsum,13435787321.571146,13234923931.19141,-200863390.37973595,-55874634449.88818
TX,iitax,wtdsum,97387587350.52542,95231768265.0043,-2155819085.521118,-55874634449.88818
UT,iitax,wtdsum,7263251233.170398,6950673954.974136,-312577278.1962614,-55874634449.88818
VA,iitax,wtdsum,36149376599.07604,34382672271.10687,-1766704327.9691696,-55874634449.88818
VT,iitax,wtdsum,1706131685.4577336,1602715698.4030871,-103415987.05464649,-55874634449.88818
WA,iitax,wtdsum,38603505403.26214,38009535157.99258,-593970245.2695618,-55874634449.88818
WI,iitax,wtdsum,16065471281.121479,15144089447.681734,-921381833.439745,-55874634449.88818
WV,iitax,wtdsum,1428353969.3443198,1323919583.6343493,-104434385.70997047,-55874634449.88818
WY,iitax,wtdsum,2727460239.1002545,2704045924.1350102,-23414314.965244293,-55874634449.88818
