stname,totchange,share,avgchange,avgpchange,avgdispincpchange
United States,-91223558596.01294,1,-1076.3829841773695,-0.05363008374981456,0.009811395238123166
Alabama,-309558323.6443367,0.0033934032875786806,-313.14037550586,-0.02277156384955891,0.0033614633509720833
Alaska,-13542804.688685894,1.484573162581908e-4,-63.38667633333898,-0.004361913383658653,6.533284239346113e-4
Arizona,-829018180.6038532,0.009087764096938953,-515.4363005081414,-0.031671830688761456,0.005211287380432856
Arkansas,-324193877.3797045,0.0035538394069388325,-564.5501237039025,-0.03584538465219512,0.00561684821797043
California,-22949439343.165344,0.2515736033144445,-2192.347079312214,-0.08382351226120867,0.017367647686183905
Colorado,-1193031467.6910858,0.013078107081685685,-723.6124433045734,-0.03740657749178051,0.0065071984604887735
Connecticut,-2840361566.5112076,0.0311362723645748,-2540.7354876528625,-0.08244405917926899,0.018491035824948973
Delaware,-172232908.41023922,0.001888031020286978,-633.0188277272773,-0.04222524183977538,0.006562731779356831
Florida,-2715005992.392212,0.02976211446010039,-523.5193069841698,-0.02138585940801614,0.004436999149918869
Georgia,-1998587157.1964798,0.021908673460627647,-876.4814826759721,-0.04829476971290901,0.008206645160875808
Hawaii,-246818757.95181084,0.0027056471129881837,-597.2204978314039,-0.04194016317168709,0.006347962347640127
Idaho,-256498506.83160877,0.0028117573001895523,-668.1060068899696,-0.049521010603580766,0.007172651828756827
Illinois,-3836195496.072647,0.042052684143373396,-1080.1160608335085,-0.05393103478020831,0.009763597690112298
Indiana,-759815676.7274818,0.008329160673202357,-458.00051773504856,-0.03560638631509734,0.005176648338109852
Iowa,-518010011.4022255,0.005678467485534662,-612.5901008475048,-0.048527583573178844,0.006709599180283527
Kansas,-427710069.94041157,0.0046885922509835665,-585.4461645241026,-0.03991992732224162,0.006046078291475313
Kentucky,-576896590.2304068,0.006323986907649762,-595.9183328057061,-0.048871521451658746,0.006835184193985913
Louisiana,-382190170.43096256,0.004189599444629282,-396.5637264029465,-0.026480337662302126,0.004171553168472847
Maine,-236449374.29237413,0.002591977093762581,-643.9915946483125,-0.053892611528028656,0.007430279201907115
Maryland,-2471573408.563301,0.02709358686070075,-1321.9861348138293,-0.06919230693165877,0.01189166690474322
Massachusetts,-3765299729.0348587,0.0412755190324205,-1661.6572674514464,-0.06219636028308656,0.012751294085305717
Michigan,-1567072055.7659683,0.017178370147845335,-600.2721939075982,-0.03976450927149874,0.00634469769968062
Minnesota,-1913777602.5141296,0.020978984288360945,-1113.581343768843,-0.06617813628218645,0.01079913067966175
Mississippi,-167714651.95147228,0.0018385015289110033,-309.63606999928015,-0.027877832467453324,0.0037492526687864535
Missouri,-989377422.7639999,0.01084563503102851,-664.5220267520072,-0.046695039186866065,0.007111501829914767
Montana,-160019693.94843745,0.0017541487792324662,-589.8135249116131,-0.044474412445310224,0.006456889886509327
Nebraska,-355917760.95721865,0.0039015991749830133,-696.4676947293447,-0.05115160273394145,0.007404467854386438
Nevada,-299083864.8844795,0.003278581426635459,-392.6024032297646,-0.01992775403281062,0.0037624687054889873
New Hampshire,-221193941.64004803,0.00242474581176573,-488.60380927125516,-0.027287420472525165,0.0045852256787243814
New Jersey,-5781386362.090042,0.06337602315749526,-2090.2439693715205,-0.08301492858097691,0.01672157374300505
New Mexico,-140301740.16457987,0.0015379989810078726,-308.13425303384065,-0.025080216327952026,0.0036025786677458867
New York,-15293667720.558868,0.1676504178957485,-2706.9420616742027,-0.09239181341927306,0.02107354701781789
North Carolina,-1628284167.2003937,0.017849382245778343,-694.8021157708226,-0.044763983833052315,0.007081292455756214
North Dakota,-47024364.05721903,5.154848679546502e-4,-211.34708026438602,-0.014748135191311141,0.002198573047611429
Ohio,-1841687588.2334633,0.0201887277429008,-600.919422051873,-0.045161287694395154,0.006688648269693323
Oklahoma,-347111752.64378357,0.003805067002274943,-428.56042236580834,-0.029472127564088436,0.004489375253836218
Oregon,-1149122328.1959114,0.012596771556400732,-1022.98022599861,-0.06476663785431593,0.010235248350022583
Pennsylvania,-2638839086.1325455,0.028927166696256026,-728.97543708804,-0.04413266646714412,0.007300423200083423
Rhode Island,-287231792.3227272,0.0031486580521896137,-893.9432680247046,-0.05781256077851339,0.009337472553432364
South Carolina,-644317423.7278872,0.007063059517128375,-573.1468094319043,-0.0408393711443174,0.006168651131898949
South Dakota,-42111680.37899876,4.616316336166183e-4,-179.56342141819368,-0.01291780744727462,0.001909638227879188
Tennessee,-288625505.7179432,0.003163936050731505,-190.24910733038814,-0.012345017476400424,0.0019857184642093056
Texas,-2577302304.188324,0.02825259553403312,-396.20931384023424,-0.01849738100011308,0.003454434746132668
Utah,-489560699.04049015,0.0053666038310183515,-690.2704924945683,-0.043880235427836145,0.0067181498356868406
Vermont,-131735410.56239796,0.0014440941856455449,-684.4858931386916,-0.05288876031610805,0.007608770634947454
Virginia,-2398849317.550888,0.026296379515014155,-1007.4042395586475,-0.05183695881928576,0.00892176063815278
Washington,-714756574.9453354,0.007835219168665218,-317.7446329225604,-0.01524394756742476,0.0027103939089167628
West Virginia,-133039361.73612785,0.0014583882034825875,-352.304770053006,-0.034468991504532996,0.0043983920717427
Wisconsin,-1275686101.8677921,0.01398417384172895,-753.5789637653397,-0.05539124818000319,0.008181629746013193
Wyoming,-60960819.36083841,6.682574139735741e-4,-391.7631789037114,-0.017918987538114727,0.0033168601190856203
